"id_kbli_komoditas";"kbli";"id_komoditas";"created_at";"updated_at";"deleted_at";"_PEERDB_IS_DELETED";"_PEERDB_SYNCED_AT"
KK-00001;"10213";K-0020;;;;;
KK-00002;"10213";K-0022;;;;;
KK-00003;"10219";K-0020;;;;;
KK-00004;"10219";K-0022;;;;;
KK-00005;"10221";K-0020;;;;;
KK-00006;"10221";K-0021;;;;;
KK-00007;"10222";K-0021;;;;;
KK-00008;"10222";K-0023;;;;;
KK-00009;"10293";K-0021;;;;;
KK-00010;"10293";K-0023;;;;;
KK-00011;"10298";K-0024;;;;;
KK-00012;"10431";K-0012;;;;;
KK-00013;"10432";K-0012;;;;;
KK-00014;"10433";K-0012;;;;;
KK-00015;"10434";K-0012;;;;;
KK-00016;"10435";K-0012;;;;;
KK-00017;"10436";K-0012;;;;;
KK-00018;"10437";K-0012;;;;;
KK-00019;"10490";K-0012;;;;;
KK-00020;"10490";K-0015;;;;;
KK-00021;"10731";K-0013;;;;;
KK-00022;"10732";K-0013;;;;;
KK-00023;"10772";K-0015;;;;;
KK-00024;"10773";K-0014;;;;;
KK-00025;"10774";K-0025;;;;;
KK-00026;"16212";K-0017;;;;;
KK-00027;"17011";K-0026;;;;;
KK-00028;"17012";K-0026;;;;;
KK-00029;"17013";K-0026;;;;;
KK-00030;"17014";K-0026;;;;;
KK-00031;"17019";K-0026;;;;;
KK-00032;"17021";K-0026;;;;;
KK-00033;"17091";K-0026;;;;;
KK-00034;"19100";K-0002;;;;;
KK-00035;"19100";K-0011;;;;;
KK-00036;"19211";K-0010;;;;;
KK-00037;"19291";K-0010;;;;;
KK-00038;"19292";K-0002;;;;;
KK-00039;"20111";K-0010;;;;;
KK-00040;"20111";K-0011;;;;;
KK-00041;"20111";K-0025;;;;;
KK-00042;"20112";K-0002;;;;;
KK-00043;"20112";K-0011;;;;;
KK-00044;"20113";K-0003;;;;;
KK-00045;"20114";K-0003;;;;;
KK-00046;"20114";K-0011;;;;;
KK-00047;"20115";K-0011;;;;;
KK-00048;"20115";K-0012;;;;;
KK-00049;"20115";K-0014;;;;;
KK-00050;"20115";K-0018;;;;;
KK-00051;"20115";K-0019;;;;;
KK-00052;"20117";K-0002;;;;;
KK-00053;"20117";K-0005;;;;;
KK-00054;"20117";K-0010;;;;;
KK-00055;"20117";K-0011;;;;;
KK-00056;"20118";K-0010;;;;;
KK-00057;"20122";K-0002;;;;;
KK-00058;"20122";K-0011;;;;;
KK-00059;"20123";K-0011;;;;;
KK-00060;"20129";K-0011;;;;;
KK-00061;"20131";K-0010;;;;;
KK-00062;"20132";K-0010;;;;;
KK-00063;"20294";K-0015;;;;;
KK-00064;"22111";K-0016;;;;;
KK-00065;"23990";K-0004;;;;;
KK-00066;"23990";K-0005;;;;;
KK-00067;"24101";K-0005;;;;;
KK-00068;"24102";K-0005;;;;;
KK-00069;"24103";K-0005;;;;;
KK-00070;"24201";K-0001;;;;;
KK-00071;"24201";K-0005;;;;;
KK-00072;"24201";K-0006;;;;;
KK-00073;"24202";K-0001;;;;;
KK-00074;"24202";K-0003;;;;;
KK-00075;"24202";K-0007;;;;;
KK-00076;"24202";K-0008;;;;;
KK-00077;"24203";K-0001;;;;;
KK-00078;"24203";K-0003;;;;;
KK-00079;"24203";K-0005;;;;;
KK-00080;"24203";K-0007;;;;;
KK-00081;"24203";K-0008;;;;;
KK-00082;"24204";K-0001;;;;;
KK-00083;"24204";K-0007;;;;;
KK-00084;"24204";K-0008;;;;;
KK-00085;"24205";K-0001;;;;;
KK-00086;"24205";K-0007;;;;;
KK-00087;"24205";K-0008;;;;;
KK-00088;"24205";K-0030;;;;;
KK-00089;"24310";K-0005;;;;;
KK-00090;"24320";K-0001;;;;;
KK-00091;"24320";K-0003;;;;;
KK-00092;"24320";K-0007;;;;;
KK-00093;"24320";K-0008;;;;;
KK-00094;"25111";K-0005;;;;;
KK-00095;"25112";K-0008;;;;;
KK-00096;"25113";K-0005;;;;;
KK-00097;"25119";K-0005;;;;;
KK-00098;"25120";K-0001;;;;;
KK-00099;"25120";K-0003;;;;;
KK-00100;"25120";K-0005;;;;;
KK-00101;"25120";K-0007;;;;;
KK-00102;"25120";K-0008;;;;;
KK-00103;"25910";K-0001;;;;;
KK-00104;"25910";K-0003;;;;;
KK-00105;"25910";K-0005;;;;;
KK-00106;"25910";K-0006;;;;;
KK-00107;"25910";K-0007;;;;;
KK-00108;"25910";K-0008;;;;;
KK-00109;"25940";K-0001;;;;;
KK-00110;"25940";K-0003;;;;;
KK-00111;"25940";K-0005;;;;;
KK-00112;"25940";K-0007;;;;;
KK-00113;"25940";K-0008;;;;;
KK-00114;"25951";K-0001;;;;;
KK-00115;"25951";K-0003;;;;;
KK-00116;"25951";K-0005;;;;;
KK-00117;"25951";K-0007;;;;;
KK-00118;"25951";K-0008;;;;;
KK-00119;"25952";K-0001;;;;;
KK-00120;"25952";K-0003;;;;;
KK-00121;"25952";K-0005;;;;;
KK-00122;"25952";K-0007;;;;;
KK-00123;"25952";K-0008;;;;;
KK-00124;"25952";K-0030;;;;;
KK-00125;"25991";K-0001;;;;;
KK-00126;"25991";K-0003;;;;;
KK-00127;"25991";K-0005;;;;;
KK-00128;"25991";K-0007;;;;;
KK-00129;"25991";K-0008;;;;;
KK-00130;"25993";K-0001;;;;;
KK-00131;"25993";K-0003;;;;;
KK-00132;"25993";K-0005;;;;;
KK-00133;"25993";K-0007;;;;;
KK-00134;"25993";K-0008;;;;;
KK-00135;"25994";K-0001;;;;;
KK-00136;"25994";K-0003;;;;;
KK-00137;"25994";K-0005;;;;;
KK-00138;"25994";K-0007;;;;;
KK-00139;"25994";K-0008;;;;;
KK-00140;"25999";K-0001;;;;;
KK-00141;"25999";K-0003;;;;;
KK-00142;"25999";K-0005;;;;;
KK-00143;"25999";K-0007;;;;;
KK-00144;"25999";K-0008;;;;;
KK-00145;"26120";K-0001;;;;;
KK-00146;"26120";K-0003;;;;;
KK-00147;"26120";K-0005;;;;;
KK-00148;"26120";K-0006;;;;;
KK-00149;"26120";K-0008;;;;;
KK-00150;"26120";K-0029;;;;;
