"id_komoditas";"komoditas";"kategori";"created_at";"updated_at";"deleted_at"
K-0004;Aspal Buton;;;;
K-0002;Batubara;;;;
K-0008;Bauksit;;;;
K-0005;Besi Baja;;;;
K-0018;Biofuel;;;;
K-0009;Ekosistem Kendaraan Listrik;;;;
K-0006;Emas Perak;;;;
K-0025;Garam;;;;
K-0011;Gas Bumi;;;;
K-0019;Getah Pinus;;;;
K-0020;Ikan TCT;;;;
K-0013;Kakao;;;;
K-0016;Karet;;;;
K-0017;Kayu Log;;;;
K-0014;Kelapa;;;;
K-0012;Kelapa Sawit;;;;
K-0031;Kobal;;;;
K-0032;Logam Tanah Jarang;;;;
K-0030;Mangan;;;;
K-0010;Minyak Bumi;;;;
K-0007;Nikel;;;;
K-0015;Pala;;;;
K-0029;Pasir Silika;;;;
K-0026;Pulp & Paper;;;;
K-0021;Rajungan;;;;
K-0024;Rumput Laut;;;;
K-0001;Tembaga;;;;
K-0022;Tilapia;;;;
K-0003;Timah;;;;
K-0023;Udang;;;;
