"id_komoditas_sektor";"id_komoditas";"id_sektor";"created_at";"updated_at";"deleted_at"
KS-0001;K-0020;S-005;;;
KS-0002;K-0021;S-005;;;
KS-0003;K-0023;S-005;;;
KS-0004;K-0024;S-006;;;
KS-0005;K-0012;S-007;;;
KS-0006;K-0015;S-007;;;
KS-0007;K-0013;S-007;;;
KS-0008;K-0025;S-007;;;
KS-0009;K-0014;S-007;;;
KS-0010;K-0025;S-006;;;
KS-0011;K-0002;S-002;;;
KS-0012;K-0001;S-001;;;
KS-0013;K-0005;S-001;;;
KS-0014;K-0008;S-001;;;
KS-0015;K-0003;S-001;;;
KS-0016;K-0029;S-001;;;
KS-0017;K-0032;S-001;;;
KS-0018;K-0007;S-001;;;
KS-0019;K-0006;S-001;;;
KS-0020;K-0030;S-001;;;
KS-0021;K-0031;S-001;;;
KS-0022;K-0011;S-002;;;
KS-0023;K-0010;S-003;;;
KS-0024;K-0011;S-004;;;
KS-0025;K-0004;S-002;;;
KS-0026;K-0009;S-001;;;
KS-0027;K-0002;S-004;;;
KS-0028;K-0016;S-007;;;
KS-0029;K-0017;S-008;;;
KS-0030;K-0018;S-007;;;
KS-0032;K-0019;S-008;;;
KS-0033;K-0012;S-008;;;
KS-0034;K-0022;S-005;;;
KS-0035;K-0026;S-008;;;
