"id_produk_jenis";"produk_jenis";"produk_jenis_idn";"produk_jenis_eng";"created_at";"updated_at";"deleted_at";"produk_jenis_baku"
PJ-000233;Tin Powder;Bubuk Timah;Tin Powder;;;;Bubuk Timah (Tin Powder)
PJ-000234;Tin Tube;Pipa Timah;Tin Tube;;;;Tin Tube
PJ-000235;Tin Stabilizer;Bahan Penstabil dari Timah;Tin Stabilizer;;;;Bahan Penstabil dari Timah (Tin Stabilizer)
PJ-000236;Semi-Extracted Buton Asphalt;Aspal Buton Semi Ekstraksi;Semi-Extracted Buton Asphalt;;;;Aspal Buton Semi Ekstraksi (Semi-Extracted Buton Asphalt)
PJ-000237;Hotmix Buton Asphalt;Aspal Buton Hotmix;Hotmix Buton Asphalt;;;;Aspal Buton Hotmix (Hotmix Buton Asphalt)
PJ-000238;Tin Profile;Profil Timah;Tin Profile;;;;Profil Timah (Tin Profile)
PJ-000239;Bullion;Bullion;Bullion;;;;Bullion
PJ-000240;Uranium;Uranium;Uranium;;;;Uranium
PJ-000188;Frozen TCT Fish;Ikan TCT Beku;Frozen TCT Fish;;;;Ikan TCT Beku (Frozen TCT Fish)
PJ-000186;Processed TCT Fish;Ikan TCT Olahan;Processed TCT Fish;;;;Ikan TCT Olahan (Processed TCT Fish)
PJ-000191;Fish Meal;Pakan Ikan;Fish Meal;;;;Pakan Ikan (Fish Meal)
PJ-000193;Collagen;Kolagen;Collagen;;;;Kolagen (Collagen)
PJ-000187;Canned Crab;Kepiting Kalengan;Canned Crab;;;;Kepiting Kalengan (Canned Crab)
PJ-000062;Electric Motor Drive;Penggerak Motor Listrik;Electric Motor Drive;;;;Penggerak Motor Listrik (Electric Motor Drive)
PJ-000201;Processed Shrimp;Udang Olahan;Processed Shrimp;;;;Udang Olahan (Processed Shrimp)
PJ-000197;Frozen Shrimp;Udang Beku;Frozen Shrimp;;;;Udang Beku (Frozen Shrimp)
PJ-000485;Dried Seaweed;Rumput Laut Kering;Dried Seaweed;;;;Rumput Laut Kering (Dried Seaweed)
PJ-000486;Dessert Products;Produk Dessert;Dessert Products;;;;Produk Dessert (Dessert Products)
PJ-000487;Wet Seaweed;Rumput Laut Basah;Wet Seaweed;;;;Rumput Laut Basah (Wet Seaweed)
PJ-000205;Non-Food Grade Chemical Products;Produk Kimia Non-Makanan;Non-Food Grade Chemical Products;;;;Produk Kimia Non-Makanan (Non-Food Grade Chemical Products)
PJ-000206;Plant Fertilizer;Pupuk Tanaman;Plant Fertilizer;;;;Pupuk Tanaman (Plant Fertilizer)
PJ-000202;ATCC;ATCC;ATCC;;;;ATCC
PJ-000136;Crude Palm Kernel Oil;Minyak Inti Kelapa Sawit Mentah;Crude Palm Kernel Oil;;;;Minyak Inti Kelapa Sawit Mentah (Crude Palm Kernel Oil)
PJ-000138;Stearin;Stearin;Stearin;;;;Stearin
PJ-000137;Olein;Olein;Olein;;;;Olein
PJ-000141;Refined Bleached Deodorized Palm Olein (RBDP);Olein Sawit yang Diblansir dan Dideodorisasi (RBDP);Refined Bleached Deodorized Palm Olein (RBDP);;;;Olein Sawit yang Diblansir dan Dideodorisasi (RBDP) (Refined Bleached Deodorized Palm Olein (RBDP))
PJ-000142;Refined Bleached Deodorized Palm Stearin (RBDP Stearin);Stearin Sawit yang Diblansir dan Dideodorisasi (RBDP Stearin);Refined Bleached Deodorized Palm Stearin (RBDP Stearin);;;;Stearin Sawit yang Diblansir dan Dideodorisasi (RBDP Stearin) (Refined Bleached Deodorized Palm Stearin (RBDP Stearin))
PJ-000328;Pretreated Palm Stearin;Stearin Sawit yang Diolah Sebelumnya;Pretreated Palm Stearin;;;;Stearin Sawit yang Diolah Sebelumnya (Pretreated Palm Stearin)
PJ-000140;Refined Bleached Deodorized Palm Kernel Oil (RBDPKO);Minyak Inti Sawit yang Diblansir dan Dideodorisasi (RBDPKO);Refined Bleached Deodorized Palm Kernel Oil (RBDPKO);;;;Minyak Inti Sawit yang Diblansir dan Dideodorisasi (RBDPKO) (Refined Bleached Deodorized Palm Kernel Oil (RBDPKO))
PJ-000145;Cooking Oil;Minyak Goreng;Cooking Oil;;;;Minyak Goreng (Cooking Oil)
PJ-000149;Cottonseed Meal;Bungkil Biji Kapuk;Cottonseed Meal;;;;Bungkil Biji Kapuk (Cottonseed Meal)
PJ-000150;Copra Seed Meal;Bungkil Kopra;Copra Seed Meal;;;;Bungkil Kopra (Copra Seed Meal)
PJ-000151;Peanut Oil;Minyak Kacang kacangan;Peanut Oil;;;;Minyak Kacang kacangan (Peanut Oil)
PJ-000329;Shortening;Mentega;Shortening;;;;Mentega (Shortening)
PJ-000496;Margarine;Margarin;Margarine;;;;Margarin (Margarine)
PJ-000497;Cocoa Paste;Pasta Kakao;Cocoa Paste;;;;Pasta Kakao (Cocoa Paste)
PJ-000153;Cocoa Powder;Bubuk Kakao;Cocoa Powder;;;;Bubuk Kakao (Cocoa Powder)
PJ-000499;Cocoa Liquor;Kakao Liquor;Cocoa Liquor;;;;Kakao Liquor (Cocoa Liquor)
PJ-000500;Cocoa Cake;Kakao Cake;Cocoa Cake;;;;Kakao Cake (Cocoa Cake)
PJ-000152;Cocoa Fat;Lemak Kakao;Cocoa Fat;;;;Lemak Kakao (Cocoa Fat)
PJ-000154;Chocolate Bar;Cokelat Batangan;Chocolate Bar;;;;Cokelat Batangan (Chocolate Bar)
PJ-000502;Chocolate Flavorings;Flavour;Chocolate Flavorings;;;;Flavour (Chocolate Flavorings)
PJ-000212;Edible Salt;Garam Konsumsi;Edible Salt;;;;Garam Konsumsi (Edible Salt)
PJ-000503;Coconut Milk;Santan;Coconut Milk;;;;Santan (Coconut Milk)
PJ-000155;Nata de Coco;Nata de Coco;Nata de Coco;;;;Nata de Coco
PJ-000156;Medium Chain Triglycerides (MCT);MCT;Medium Chain Triglycerides (MCT);;;;MCT (Medium Chain Triglycerides (MCT))
PJ-000157;Coconut Flour;Tepung Kelapa;Coconut Flour;;;;Tepung Kelapa (Coconut Flour)
PJ-000504;Coconut Oil;Minyak Kelapa;Coconut Oil;;;;Minyak Kelapa (Coconut Oil)
PJ-000505;Coco Vinegar;Cuka Kelapa;Coco Vinegar;;;;Cuka Kelapa (Coco Vinegar)
PJ-000210;Industrial Salt;Garam Industri;Industrial Salt;;;;Garam Industri (Industrial Salt)
PJ-000506;Folk Salt;Garam Rakyat;Folk Salt;;;;Garam Rakyat (Folk Salt)
PJ-000005;Briquette;Briket;Briquette;;;;Briket (Briquette)
PJ-000207;Caustic Soda;Soda Kaustik;Caustic Soda;;;;Soda Kaustik (Caustic Soda)
PJ-000117;Soda Ash;Abu Soda;Soda Ash;;;;Abu Soda (Soda Ash)
PJ-000208;Sodium Sulfate;Natrium Sulfat;Sodium Sulfate;;;;Natrium Sulfat (Sodium Sulfate)
PJ-000507;Kalium Hidroksida;Kalium Hidroksida;Potassium Hydroxide;;;;Kalium Hidroksida (Potassium Hydroxide)
PJ-000211;Vacuum Salt;Garam Vakum;Vacuum Salt;;;;Garam Vakum (Vacuum Salt)
PJ-000528;OSAT;OSAT;OSAT;"2025-01-23 07:30:40.758106";;;OSAT
PJ-000509;Asam Klorida;Asam Klorida;Hydrochloric Acid;;;;Asam Klorida (Hydrochloric Acid)
PJ-000034;Copper Slab;Slab Tembaga;Copper Slab;;;;Slab Tembaga (Copper Slab)
PJ-000021;Cold Rolled Coil (CRC) Steel;Gulungan Baja Dingin (CRC);Cold Rolled Coil (CRC) Steel;;;;Gulungan Baja Dingin (CRC) (Cold Rolled Coil (CRC) Steel)
PJ-000054;Copper Wire;Kawat Tembaga;Copper Wire;;;;Kawat Tembaga (Copper Wire)
PJ-000023;Steel Wire Rod;Batang Baja Kawat;Steel Wire Rod;;;;Batang Baja Kawat (Steel Wire Rod)
PJ-000048;Automotive Components;Komponen Otomotif;Automotive Components;;;;Komponen Otomotif (Automotive Components)
PJ-000024;Steel Section;Seksi Baja;Steel Section;;;;Seksi Baja (Steel Section)
PJ-000036;Copper Rod;Batang Tembaga;Copper Rod;;;;Batang Tembaga (Copper Rod)
PJ-000019;Steel Plate;Plat Baja;Steel Plate;;;;Plat Baja (Steel Plate)
PJ-000043;Tin Plate;Plat Timah;Tin Plate;;;;Plat Timah (Tin Plate)
PJ-000056;Wire Nail;Paku Kawat;Wire Nail;;;;Paku Kawat (Wire Nail)
PJ-000020;Hot Rolled Coil (HRC) Steel;Gulungan Baja Panas (HRC);Hot Rolled Coil (HRC) Steel;;;;Gulungan Baja Panas (HRC) (Hot Rolled Coil (HRC) Steel)
PJ-000050;Electrical Components;Komponen Elektrikal;Electrical Components;;;;Komponen Elektrikal (Electrical Components)
PJ-000488;Chemical-Grade Alumina;Alumina Kelas Kimia;Chemical-Grade Alumina;;;;Alumina Kelas Kimia (Chemical-Grade Alumina)
PJ-000069;Semiconductor Chip;Chip Semikonduktor;Semiconductor Chip;;;;Chip Semikonduktor (Semiconductor Chip)
PJ-000489;Wafer Carbide;Karbida Wafer;Wafer Carbide;;;;Karbida Wafer (Wafer Carbide)
PJ-000490;Light Emitting Diode (LED);Dioda Pemancar Cahaya (LED);Light Emitting Diode (LED);;;;Dioda Pemancar Cahaya (LED) (Light Emitting Diode (LED))
PJ-000491;Tin Wire;Kabel Timah;Tin Wire;;;;Kabel Timah (Tin Wire)
