"id_produk_jenis_kbli";"id_produk_jenis";"kbli";"created_at";"updated_at";"deleted_at"
PJK-0000002;PJ-000002;"19100";;;
PJK-0000003;PJ-000003;"19100";;;
PJK-0000004;PJ-000004;"19100";;;
PJK-0000005;PJ-000005;"19292";;;
PJK-0000006;PJ-000006;"20113";;;
PJK-0000007;PJ-000006;"20114";;;
PJK-0000008;PJ-000007;"20117";;;
PJK-0000009;PJ-000008;"20117";;;
PJK-0000010;PJ-000009;"20117";;;
PJK-0000011;PJ-000010;"23990";;;
PJK-0000013;PJ-000012;"23990";;;
PJK-0000014;PJ-000013;"24101";;;
PJK-0000015;PJ-000014;"24101";;;
PJK-0000016;PJ-000015;"24101";;;
PJK-0000017;PJ-000016;"24101";;;
PJK-0000018;PJ-000017;"24101";;;
PJK-0000019;PJ-000018;"24101";;;
PJK-0000020;PJ-000019;"24102";;;
PJK-0000021;PJ-000020;"24102";;;
PJK-0000022;PJ-000021;"24102";;;
PJK-0000023;PJ-000022;"24102";;;
PJK-0000024;PJ-000023;"24102";;;
PJK-0000025;PJ-000024;"24102";;;
PJK-0000026;PJ-000014;"24102";;;
PJK-0000027;PJ-000015;"24102";;;
PJK-0000028;PJ-000012;"24102";;;
PJK-0000029;PJ-000017;"24102";;;
PJK-0000030;PJ-000018;"24102";;;
PJK-0000031;PJ-000025;"24103";;;
PJK-0000032;PJ-000026;"24103";;;
PJK-0000033;PJ-000027;"24201";;;
PJK-0000034;PJ-000028;"24201";;;
PJK-0000035;PJ-000029;"24201";;;
PJK-0000036;PJ-000034;"24201";;;
PJK-0000037;PJ-000035;"24201";;;
PJK-0000038;PJ-000036;"24201";;;
PJK-0000039;PJ-000037;"24202";;;
PJK-0000040;PJ-000034;"24202";;;
PJK-0000041;PJ-000035;"24202";;;
PJK-0000043;PJ-000038;"24202";;;
PJK-0000044;PJ-000039;"24202";;;
PJK-0000045;PJ-000040;"24202";;;
PJK-0000046;PJ-000041;"24202";;;
PJK-0000047;PJ-000042;"24202";;;
PJK-0000048;PJ-000006;"24202";;;
PJK-0000050;PJ-000044;"24202";;;
PJK-0000051;PJ-000045;"24202";;;
PJK-0000052;PJ-000037;"24203";;;
PJK-0000053;PJ-000046;"24203";;;
PJK-0000054;PJ-000047;"24203";;;
PJK-0000055;PJ-000034;"24203";;;
PJK-0000056;PJ-000035;"24203";;;
PJK-0000058;PJ-000039;"24203";;;
PJK-0000059;PJ-000040;"24203";;;
PJK-0000060;PJ-000048;"24203";;;
PJK-0000061;PJ-000049;"24203";;;
PJK-0000062;PJ-000050;"24203";;;
PJK-0000063;PJ-000044;"24203";;;
PJK-0000065;PJ-000037;"24204";;;
PJK-0000066;PJ-000046;"24204";;;
PJK-0000067;PJ-000047;"24204";;;
PJK-0000068;PJ-000034;"24204";;;
PJK-0000069;PJ-000035;"24204";;;
PJK-0000071;PJ-000039;"24204";;;
PJK-0000072;PJ-000040;"24204";;;
PJK-0000073;PJ-000042;"24204";;;
PJK-0000075;PJ-000037;"24205";;;
PJK-0000076;PJ-000034;"24205";;;
PJK-0000078;PJ-000042;"24205";;;
PJK-0000082;PJ-000014;"24310";;;
PJK-0000083;PJ-000013;"24310";;;
PJK-0000084;PJ-000022;"24310";;;
PJK-0000085;PJ-000024;"24310";;;
PJK-0000086;PJ-000025;"24310";;;
PJK-0000087;PJ-000037;"24320";;;
PJK-0000088;PJ-000046;"24320";;;
PJK-0000089;PJ-000047;"24320";;;
PJK-0000090;PJ-000034;"24320";;;
PJK-0000091;PJ-000035;"24320";;;
PJK-0000093;PJ-000041;"24320";;;
PJK-0000094;PJ-000038;"24320";;;
PJK-0000095;PJ-000039;"24320";;;
PJK-0000096;PJ-000040;"24320";;;
PJK-0000098;PJ-000044;"24320";;;
PJK-0000099;PJ-000024;"25111";;;
PJK-0000100;PJ-000039;"25112";;;
PJK-0000101;PJ-000040;"25112";;;
PJK-0000102;PJ-000042;"25112";;;
PJK-0000103;PJ-000024;"25113";;;
PJK-0000104;PJ-000019;"25113";;;
PJK-0000105;PJ-000022;"25113";;;
PJK-0000106;PJ-000024;"25119";;;
PJK-0000107;PJ-000019;"25119";;;
PJK-0000108;PJ-000022;"25119";;;
PJK-0000109;PJ-000053;"25119";;;
PJK-0000110;PJ-000025;"25119";;;
PJK-0000111;PJ-000037;"25120";;;
PJK-0000112;PJ-000034;"25120";;;
PJK-0000113;PJ-000036;"25120";;;
PJK-0000114;PJ-000038;"25120";;;
PJK-0000115;PJ-000042;"25120";;;
PJK-0000116;PJ-000039;"25120";;;
PJK-0000117;PJ-000040;"25120";;;
PJK-0000118;PJ-000019;"25120";;;
PJK-0000119;PJ-000025;"25120";;;
PJK-0000120;PJ-000020;"25120";;;
PJK-0000121;PJ-000021;"25120";;;
PJK-0000122;PJ-000024;"25120";;;
PJK-0000123;PJ-000043;"25120";;;
PJK-0000124;PJ-000044;"25120";;;
PJK-0000125;PJ-000049;"25120";;;
PJK-0000126;PJ-000037;"25910";;;
PJK-0000127;PJ-000034;"25910";;;
PJK-0000128;PJ-000036;"25910";;;
PJK-0000129;PJ-000048;"25910";;;
PJK-0000130;PJ-000039;"25910";;;
PJK-0000131;PJ-000040;"25910";;;
PJK-0000132;PJ-000042;"25910";;;
PJK-0000133;PJ-000022;"25910";;;
PJK-0000134;PJ-000023;"25910";;;
PJK-0000135;PJ-000020;"25910";;;
PJK-0000136;PJ-000021;"25910";;;
PJK-0000012;PJ-000011;"23990";;;
PJK-0000137;PJ-000024;"25910";;;
PJK-0000138;PJ-000043;"25910";;;
PJK-0000139;PJ-000044;"25910";;;
PJK-0000140;PJ-000045;"25910";;;
PJK-0000141;PJ-000027;"25910";;;
PJK-0000142;PJ-000037;"25940";;;
PJK-0000143;PJ-000034;"25940";;;
PJK-0000144;PJ-000036;"25940";;;
PJK-0000145;PJ-000049;"25940";;;
PJK-0000146;PJ-000039;"25940";;;
PJK-0000147;PJ-000040;"25940";;;
PJK-0000148;PJ-000042;"25940";;;
PJK-0000149;PJ-000019;"25940";;;
PJK-0000150;PJ-000025;"25940";;;
PJK-0000151;PJ-000020;"25940";;;
PJK-0000152;PJ-000021;"25940";;;
PJK-0000153;PJ-000043;"25940";;;
PJK-0000154;PJ-000044;"25940";;;
PJK-0000155;PJ-000037;"25951";;;
PJK-0000156;PJ-000054;"25951";;;
PJK-0000157;PJ-000055;"25951";;;
PJK-0000158;PJ-000038;"25951";;;
PJK-0000159;PJ-000039;"25951";;;
PJK-0000160;PJ-000040;"25951";;;
PJK-0000161;PJ-000042;"25951";;;
PJK-0000162;PJ-000048;"25951";;;
PJK-0000163;PJ-000050;"25951";;;
PJK-0000164;PJ-000023;"25951";;;
PJK-0000165;PJ-000056;"25951";;;
PJK-0000166;PJ-000057;"25951";;;
PJK-0000167;PJ-000058;"25951";;;
PJK-0000168;PJ-000043;"25951";;;
PJK-0000169;PJ-000044;"25951";;;
PJK-0000170;PJ-000037;"25952";;;
PJK-0000171;PJ-000034;"25952";;;
PJK-0000172;PJ-000036;"25952";;;
PJK-0000173;PJ-000038;"25952";;;
PJK-0000174;PJ-000039;"25952";;;
PJK-0000175;PJ-000040;"25952";;;
PJK-0000176;PJ-000056;"25952";;;
PJK-0000177;PJ-000057;"25952";;;
PJK-0000178;PJ-000043;"25952";;;
PJK-0000179;PJ-000044;"25952";;;
PJK-0000180;PJ-000037;"25991";;;
PJK-0000181;PJ-000034;"25991";;;
PJK-0000182;PJ-000036;"25991";;;
PJK-0000183;PJ-000038;"25991";;;
PJK-0000184;PJ-000039;"25991";;;
PJK-0000185;PJ-000040;"25991";;;
PJK-0000186;PJ-000042;"25991";;;
PJK-0000187;PJ-000019;"25991";;;
PJK-0000188;PJ-000024;"25991";;;
PJK-0000189;PJ-000043;"25991";;;
PJK-0000190;PJ-000037;"25993";;;
PJK-0000191;PJ-000034;"25993";;;
PJK-0000192;PJ-000036;"25993";;;
PJK-0000193;PJ-000042;"25993";;;
PJK-0000194;PJ-000039;"25993";;;
PJK-0000195;PJ-000040;"25993";;;
PJK-0000196;PJ-000019;"25993";;;
PJK-0000197;PJ-000025;"25993";;;
PJK-0000198;PJ-000020;"25993";;;
PJK-0000199;PJ-000021;"25993";;;
PJK-0000200;PJ-000049;"25993";;;
PJK-0000201;PJ-000044;"25993";;;
PJK-0000202;PJ-000037;"25994";;;
PJK-0000203;PJ-000034;"25994";;;
PJK-0000204;PJ-000036;"25994";;;
PJK-0000205;PJ-000042;"25994";;;
