"id_produk_jenis_komoditas";"id_produk_jenis";"id_komoditas";"created_at";"updated_at";"deleted_at"
PJK-0000001;PJ-000188;K-0020;;;
PJK-0000002;PJ-000186;K-0020;;;
PJK-0000003;PJ-000191;K-0020;;;
PJK-0000004;PJ-000193;K-0020;;;
PJK-0000005;PJ-000187;K-0021;;;
PJK-0000007;PJ-000201;K-0023;;;
PJK-0000008;PJ-000197;K-0023;;;
PJK-0000009;PJ-000485;K-0024;;;
PJK-0000010;PJ-000486;K-0024;;;
PJK-0000011;PJ-000487;K-0024;;;
PJK-0000012;PJ-000205;K-0024;;;
PJK-0000013;PJ-000206;K-0024;;;
PJK-0000014;PJ-000202;K-0024;;;
PJK-0000015;PJ-000136;K-0012;;;
PJK-0000016;PJ-000138;K-0012;;;
PJK-0000017;PJ-000137;K-0012;;;
PJK-0000018;PJ-000141;K-0012;;;
PJK-0000019;PJ-000142;K-0012;;;
PJK-0000020;PJ-000328;K-0012;;;
PJK-0000021;PJ-000140;K-0012;;;
PJK-0000022;PJ-000145;K-0012;;;
PJK-0000023;PJ-000149;K-0015;;;
PJK-0000024;PJ-000150;K-0015;;;
PJK-0000025;PJ-000151;K-0015;;;
PJK-0000026;PJ-000329;K-0012;;;
PJK-0000027;PJ-000496;K-0012;;;
PJK-0000028;PJ-000497;K-0013;;;
PJK-0000029;PJ-000153;K-0013;;;
PJK-0000030;PJ-000499;K-0013;;;
PJK-0000031;PJ-000500;K-0013;;;
PJK-0000032;PJ-000152;K-0013;;;
PJK-0000033;PJ-000154;K-0013;;;
PJK-0000034;PJ-000502;K-0013;;;
PJK-0000035;PJ-000212;K-0025;;;
PJK-0000036;PJ-000503;K-0014;;;
PJK-0000037;PJ-000155;K-0014;;;
PJK-0000038;PJ-000156;K-0014;;;
PJK-0000039;PJ-000157;K-0014;;;
PJK-0000040;PJ-000504;K-0014;;;
PJK-0000041;PJ-000505;K-0014;;;
PJK-0000042;PJ-000210;K-0025;;;
PJK-0000043;PJ-000506;K-0025;;;
PJK-0000044;PJ-000005;K-0002;;;
PJK-0000045;PJ-000207;K-0025;;;
PJK-0000046;PJ-000117;K-0025;;;
PJK-0000047;PJ-000208;K-0025;;;
PJK-0000048;PJ-000507;K-0025;;;
PJK-0000049;PJ-000211;K-0025;;;
PJK-0000050;PJ-000509;K-0025;;;
PJK-0000051;PJ-000034;K-0001;;;
PJK-0000052;PJ-000021;K-0005;;;
PJK-0000053;PJ-000054;K-0005;;;
PJK-0000054;PJ-000023;K-0005;;;
PJK-0000055;PJ-000048;K-0005;;;
PJK-0000056;PJ-000054;K-0001;;;
PJK-0000057;PJ-000024;K-0005;;;
PJK-0000059;PJ-000036;K-0001;;;
PJK-0000060;PJ-000019;K-0005;;;
PJK-0000062;PJ-000043;K-0005;;;
PJK-0000063;PJ-000056;K-0005;;;
PJK-0000064;PJ-000020;K-0005;;;
PJK-0000065;PJ-000043;K-0003;;;
PJK-0000066;PJ-000050;K-0008;;;
PJK-0000067;PJ-000488;K-0008;;;
PJK-0000068;PJ-000050;K-0001;;;
PJK-0000069;PJ-000050;K-0003;;;
PJK-0000070;PJ-000069;K-0029;;;
PJK-0000071;PJ-000489;K-0029;;;
PJK-0000072;PJ-000490;K-0008;;;
PJK-0000073;PJ-000490;K-0032;;;
PJK-0000074;PJ-000491;K-0003;;;
PJK-0000075;PJ-000035;K-0001;;;
PJK-0000076;PJ-000492;K-0001;;;
PJK-0000078;PJ-000493;K-0001;;;
PJK-0000079;PJ-000494;K-0032;;;
PJK-0000080;PJ-000062;K-0032;;;
PJK-0000082;PJ-000313;K-0008;;;
PJK-0000083;PJ-000039;K-0008;;;
PJK-0000084;PJ-000045;K-0003;;;
PJK-0000085;PJ-000006;K-0003;;;
PJK-0000086;PJ-000080;K-0005;;;
PJK-0000087;PJ-000048;K-0001;;;
PJK-0000088;PJ-000048;K-0007;;;
PJK-0000089;PJ-000017;K-0005;;;
PJK-0000090;PJ-000029;K-0006;;;
PJK-0000091;PJ-000028;K-0006;;;
PJK-0000092;PJ-000022;K-0005;;;
PJK-0000094;PJ-000037;K-0007;;;
PJK-0000095;PJ-000042;K-0008;;;
PJK-0000096;PJ-000040;K-0008;;;
PJK-0000097;PJ-000025;K-0005;;;
PJK-0000098;PJ-000049;K-0003;;;
PJK-0000099;PJ-000044;K-0003;;;
